,id_numeric,title_clean,original_language,release_date,release_year,runtime,popularity,vote_average,vote_count,budget,revenue,roi,genres_str,years_since_release,vote_density
count,45433.0,45436,45425,45346,45346.0,45173.0,45430.0,45430.0,45430.0,45433.0,45430.0,8880.0,45436,45346.0,45346.0
unique,,42281,92,,,,,,,,,,4069,,
top,,Cinderella,en,,,,,,,,,,Drama,,
freq,,11,32251,,,,,,,,,,4996,,
mean,108375.22617920894,,,1992-05-16 07:38:33.253649664,1991.882834208089,94.12429991366524,2.921206015606428,5.618329297820823,109.93598943429451,4224548.932251887,11212884.129231784,3372.7576646646694,,33.117165791911084,6.32471917868481
min,2.0,,,1874-12-09 00:00:00,1874.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0
25%,26461.0,,,1978-10-06 00:00:00,1978.0,85.0,0.385872,5.0,3.0,0.0,0.0,0.0,,15.0,0.09375
50%,59996.0,,,2001-08-30 00:00:00,2001.0,95.0,1.1272375000000001,6.0,10.0,0.0,0.0,0.4906924705882353,,24.0,0.36363636363636365
75%,157351.0,,,2010-12-17 00:00:00,2010.0,107.0,3.6781275,6.8,34.0,0.0,0.0,2.607669123963964,,47.0,1.5714285714285714
max,469172.0,,,2020-12-16 00:00:00,2020.0,1256.0,547.488298,10.0,14075.0,380000000.0,2787965087.0,12396383.0,,151.0,1144.4
std,112479.7603664062,,,,24.053040086783632,38.41554008936236,6.00670785431945,1.9241391470734397,491.4663348468721,17427989.543802217,64352129.581982456,168825.56088602322,,24.053040086783632,33.3136290255179
