id_numeric,title_clean,original_language,release_date,release_year,runtime,popularity,vote_average,vote_count,budget,revenue,roi,genres_str,years_since_release,vote_density
274326.0,Trailer Park Boys - Live in F**kin' Dublin,en,2014-05-01,2014.0,81.0,1.063387,6.0,12.0,0.0,0.0,,Comedy,11.0,1.0
156045.0,The Imp,zh,1981-11-05,1981.0,0.0,0.696036,7.2,3.0,0.0,0.0,,Horror,44.0,0.06666666666666667
87894.0,Mr. Wu,en,1927-03-26,1927.0,90.0,0.104209,5.0,2.0,0.0,0.0,,Drama,98.0,0.020202020202020204
53263.0,Price of Glory,en,2000-05-31,2000.0,118.0,0.52082,3.4,4.0,10000000.0,0.0,0.0,Drama,25.0,0.15384615384615385
67696.0,A Warm December,en,1973-05-23,1973.0,99.0,0.076367,6.0,6.0,0.0,0.0,,"Drama, Romance",52.0,0.11320754716981132
196446.0,Last Summer,en,2013-05-16,2013.0,73.0,1.547286,7.0,10.0,0.0,0.0,,"Drama, Romance",12.0,0.7692307692307693
1936.0,River of No Return,en,1954-04-30,1954.0,91.0,5.321632,6.3,58.0,0.0,0.0,,"Adventure, Western",71.0,0.8055555555555556
66109.0,Wyatt Cenac: Comedy Person,en,2011-05-14,2011.0,42.0,0.304543,5.8,3.0,0.0,0.0,,Comedy,14.0,0.2
239523.0,Hunter × Hunter: The Last Mission,ja,2013-12-27,2013.0,97.0,1.771411,5.8,19.0,0.0,0.0,,"Adventure, Animation, Action",12.0,1.4615384615384615
115173.0,Mía,es,2011-01-01,2011.0,106.0,0.162432,7.7,3.0,0.0,0.0,,"Drama, Comedy",14.0,0.2
1371.0,Rocky III,en,1982-05-28,1982.0,99.0,11.673366,6.6,894.0,17000000.0,270000000.0,15.882352941176471,Drama,43.0,20.318181818181817
45556.0,Arctic Blast,en,2010-05-30,2010.0,92.0,5.270343,4.5,39.0,5000000.0,0.0,0.0,Science Fiction,15.0,2.4375
60612.0,Le Bal,fr,1983-12-21,1983.0,110.0,0.674605,7.4,12.0,0.0,0.0,,,42.0,0.27906976744186046
43021.0,Sex Galaxy,en,2008-08-22,2008.0,78.0,0.390554,2.8,3.0,0.0,0.0,,"Comedy, Science Fiction",17.0,0.16666666666666666
233917.0,Kalevala - Uusi aika,en,2013-11-14,2013.0,0.0,0.07281,0.0,0.0,0.0,0.0,,History,12.0,0.0
117426.0,Beyond the Law,en,1968-01-01,1968.0,110.0,0.34866,4.5,2.0,0.0,0.0,,,57.0,0.034482758620689655
49397.0,Death Rides a Horse,it,1967-08-31,1967.0,114.0,4.08089,6.9,31.0,0.0,0.0,,Western,58.0,0.5254237288135594
293271.0,Moomins on the Riviera,fi,2014-10-10,2014.0,80.0,1.160542,5.8,12.0,4700000.0,0.0,0.0,"Animation, Comedy, Family",11.0,1.0
55194.0,Jedi Junkies,en,2010-05-25,2010.0,75.0,0.166559,6.3,3.0,0.0,0.0,,Documentary,15.0,0.1875
62213.0,Dark Shadows,en,2012-05-08,2012.0,113.0,10.665859,5.7,2383.0,150000000.0,245527149.0,1.63684766,"Comedy, Fantasy",13.0,170.21428571428572
36631.0,Never Let Go,en,1960-01-01,1960.0,90.0,0.372205,7.6,5.0,0.0,0.0,,"Drama, Thriller, Crime",65.0,0.07575757575757576
143335.0,The Gathering Storm,en,1974-11-29,1974.0,75.0,0.017521,7.0,1.0,0.0,0.0,,"Drama, TV Movie",51.0,0.019230769230769232
49291.0,Time and Tide,cn,2000-10-19,2000.0,113.0,2.587753,5.9,26.0,0.0,0.0,,"Drama, Action, Thriller, Crime",25.0,1.0
44385.0,Werewolf: The Devil's Hound,en,2007-05-17,2007.0,89.0,0.334555,2.0,8.0,0.0,0.0,,"Horror, Thriller",18.0,0.42105263157894735
75888.0,Blood on the Sun,en,1945-04-26,1945.0,93.0,1.130503,5.1,7.0,0.0,0.0,,"Action, Drama, War",80.0,0.08641975308641975
47798.0,The New Tenants,en,2009-01-01,2009.0,20.0,0.330757,6.6,7.0,0.0,0.0,,,16.0,0.4117647058823529
84211.0,Safety Patrol,en,1998-03-29,1998.0,96.0,0.071852,6.0,2.0,0.0,0.0,,,27.0,0.07142857142857142
31973.0,Soldier of God,en,2005-01-01,2005.0,94.0,0.088381,5.0,1.0,0.0,0.0,,"Drama, History",20.0,0.047619047619047616
42023.0,Heat,en,1986-01-01,1986.0,101.0,1.352232,5.2,5.0,0.0,0.0,,"Action, Drama, Thriller",39.0,0.125
202172.0,The Conspiracy to Rule the World: From 911 to the Illuminati,en,2009-08-11,2009.0,60.0,0.075294,6.0,2.0,0.0,0.0,,,16.0,0.11764705882352941
77469.0,Your Friends & Neighbors,en,1998-02-04,1998.0,100.0,1.564774,5.9,17.0,5000000.0,4710749.0,0.9421498,"Drama, Comedy",27.0,0.6071428571428571
408537.0,The Distinguished Citizen,es,2016-09-08,2016.0,118.0,3.614272,7.3,37.0,0.0,0.0,,"Comedy, Drama",9.0,3.7
43503.0,Step Lively,en,1944-07-26,1944.0,88.0,0.009344,0.0,0.0,0.0,0.0,,"Drama, Music",81.0,0.0
407204.0,The Giant,sv,2016-10-14,2016.0,86.0,2.525014,6.4,5.0,0.0,0.0,,,9.0,0.5
49830.0,Bio Slime,en,2010-03-29,2010.0,90.0,1.574947,3.0,3.0,50000.0,0.0,0.0,"Horror, Action, Thriller, Science Fiction",15.0,0.1875
169089.0,Henrietta,sv,1983-12-15,1983.0,94.0,0.069924,6.0,1.0,0.0,0.0,,Comedy,42.0,0.023255813953488372
170632.0,Stuck,en,2013-02-23,2013.0,90.0,0.160291,5.5,3.0,0.0,0.0,,,12.0,0.23076923076923078
12636.0,Godzilla Against MechaGodzilla,ja,2002-11-02,2002.0,88.0,1.187456,6.8,30.0,8500000.0,0.0,0.0,"Action, Foreign, Horror, Science Fiction",23.0,1.25
150229.0,Tomorrow You're Gone,en,2012-10-31,2012.0,91.0,3.219988,3.9,15.0,0.0,0.0,,Thriller,13.0,1.0714285714285714
415396.0,María (y los demás),es,2016-10-07,2016.0,90.0,0.380641,5.7,8.0,0.0,0.0,,"Comedy, Drama",9.0,0.8
185752.0,Albino,de,1976-03-15,1976.0,97.0,0.637846,4.0,2.0,0.0,0.0,,"Adventure, Action",49.0,0.04
44808.0,Sweepers,en,1999-03-23,1999.0,0.0,1.059873,1.8,5.0,0.0,0.0,,"Adventure, Action, Thriller",26.0,0.18518518518518517
350849.0,La Novia,es,2015-12-11,2015.0,93.0,1.62374,6.7,27.0,0.0,0.0,,"Drama, Romance",10.0,2.4545454545454546
12569.0,Extract,en,2009-09-03,2009.0,92.0,11.23915,5.7,192.0,8000000.0,10848783.0,1.356097875,Comedy,16.0,11.294117647058824
78705.0,Live-In Maid,en,2004-09-21,2004.0,83.0,0.9422,7.8,3.0,0.0,0.0,,"Drama, Foreign",21.0,0.13636363636363635
55044.0,Cisco Pike,en,1972-01-14,1972.0,95.0,1.880781,4.6,4.0,0.0,0.0,,Drama,53.0,0.07407407407407407
33003.0,Maxed Out,en,2006-03-10,2006.0,90.0,0.682081,7.0,11.0,0.0,0.0,,Documentary,19.0,0.55
8983.0,Felidae,de,1994-11-03,1994.0,82.0,2.225467,6.3,31.0,0.0,0.0,,"Animation, Mystery, Thriller",31.0,0.96875
217587.0,Being Ginger,en,2013-08-25,2013.0,69.0,0.288222,5.3,3.0,0.0,0.0,,Documentary,12.0,0.23076923076923078
35396.0,The Island,el,2009-12-29,2009.0,96.0,0.71826,7.3,6.0,0.0,0.0,,Comedy,16.0,0.35294117647058826
42172.0,Hardcore,en,1979-02-09,1979.0,109.0,2.417741,6.7,40.0,0.0,0.0,,"Crime, Drama, Thriller",46.0,0.851063829787234
96574.0,Gerhard Richter Painting,en,2012-03-14,2012.0,97.0,0.728104,7.1,8.0,0.0,0.0,,Documentary,13.0,0.5714285714285714
72753.0,Alley Cats Strike,en,2000-03-18,2000.0,103.0,0.920318,5.0,10.0,0.0,0.0,,"Family, Drama, Comedy",25.0,0.38461538461538464
8842.0,Against the Ropes,en,2004-02-20,2004.0,106.0,1.381022,4.5,32.0,39000000.0,6614280.0,0.1695969230769231,"Romance, Drama",21.0,1.4545454545454546
222932.0,The Deathhead Virgin,en,1974-01-01,1974.0,90.0,4e-06,0.0,0.0,0.0,0.0,,Horror,51.0,0.0
136576.0,Counselor at Crime,it,1973-08-30,1973.0,0.0,0.591107,0.0,0.0,0.0,0.0,,Crime,52.0,0.0
21044.0,Surviving Sid,en,2008-10-20,2008.0,7.0,6.855234,6.2,23.0,0.0,0.0,,Animation,17.0,1.2777777777777777
390883.0,The Dark Tapes,en,2017-04-17,2017.0,98.0,3.525879,5.0,20.0,65000.0,0.0,0.0,"Horror, Science Fiction, Thriller",8.0,2.2222222222222223
34423.0,The Slammin' Salmon,en,2009-01-01,2009.0,90.0,3.761656,6.3,54.0,0.0,0.0,,Comedy,16.0,3.176470588235294
11210.0,Robinson Crusoe,en,1997-06-11,1997.0,92.0,8.739166,5.7,52.0,0.0,0.0,,"Action, Adventure, Drama",28.0,1.793103448275862
5203.0,Wild Orchid,en,1989-12-22,1989.0,105.0,17.395203,4.6,50.0,7000000.0,0.0,0.0,"Drama, Romance",36.0,1.3513513513513513
42707.0,Road to Nowhere,en,2011-04-13,2011.0,121.0,1.744659,5.0,18.0,5000000.0,27046.0,0.0054092,"Mystery, Thriller",14.0,1.2
6078.0,The Strange Case of the End of Civilization as We Know It,en,1977-09-18,1977.0,56.0,0.835451,6.1,7.0,0.0,0.0,,"Comedy, Thriller, Crime, Foreign",48.0,0.14285714285714285
85546.0,A Better Life,en,2012-01-03,2012.0,110.0,1.678135,6.0,42.0,0.0,0.0,,Drama,13.0,3.0
4808.0,Charade,en,1963-12-05,1963.0,113.0,7.098731,7.7,351.0,4000000.0,13474588.0,3.368647,"Comedy, Mystery, Romance, Thriller",62.0,5.571428571428571
30527.0,Shake Hands With the Devil,en,2007-09-28,2007.0,112.0,1.334478,7.0,12.0,11000000.0,0.0,0.0,"Drama, History",18.0,0.631578947368421
257561.0,Animated Motion: Part 5,en,1978-01-01,1978.0,7.0,1e-06,0.0,0.0,0.0,0.0,,,47.0,0.0
189332.0,The Galíndez File,en,2003-09-26,2003.0,0.0,0.9048,5.5,2.0,0.0,0.0,,Thriller,22.0,0.08695652173913043
9927.0,The Ringer,en,2005-12-23,2005.0,94.0,9.605509,5.6,110.0,0.0,40442437.0,,Comedy,20.0,5.238095238095238
36067.0,13 Lakes,en,2004-10-20,2004.0,135.0,0.190302,5.0,1.0,0.0,0.0,,,21.0,0.045454545454545456
14694.0,The Snow Walker,en,2003-01-01,2003.0,103.0,2.316254,6.3,34.0,0.0,0.0,,"Action, Adventure, Drama",22.0,1.4782608695652173
8681.0,Taken,en,2008-02-18,2008.0,93.0,16.367481,7.2,4444.0,25000000.0,226830568.0,9.07322272,"Action, Thriller",17.0,246.88888888888889
617.0,Wild Things,en,1998-03-20,1998.0,108.0,13.924623,6.3,454.0,20000000.0,67200000.0,3.36,Thriller,27.0,16.214285714285715
80284.0,Enlightened blood,es,2008-04-25,2008.0,104.0,0.257484,8.3,2.0,0.0,0.0,,,17.0,0.1111111111111111
395982.0,Prevenge,en,2017-02-10,2017.0,88.0,7.651227,6.1,43.0,0.0,0.0,,"Horror, Comedy, Drama, Thriller, Fantasy",8.0,4.777777777777778
34714.0,Diamond Men,en,2000-01-01,2000.0,100.0,0.644655,6.7,7.0,0.0,0.0,,"Drama, Thriller, Mystery",25.0,0.2692307692307692
7234.0,Wizards of the Lost Kingdom,en,1985-10-01,1985.0,79.0,0.62048,2.3,8.0,0.0,0.0,,"Action, Adventure, Fantasy",40.0,0.1951219512195122
